cancer_type,NCT Number,Study Title,Sponsor,Phases,Enrollment,Funder Type,Locations,Study Documents,Zipcode
Lymphoma,NCT02917083,"CD30 CAR T Cells, Relapsed CD30 Expressing Lymphoma (RELY-30)",Baylor College of Medicine,PHASE1,60,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States|Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
Lymphoma,NCT06026319,CD79b-19 CAR T Cells in Non-Hodgkin Lymphoma,"Marcela V. Maus, M.D.,Ph.D.",PHASE1,24,OTHER,"Massachusetts General Hospital, Boston, Massachusetts, 02114, United States",,02114
Lymphoma,NCT06408194,Autologous CD22 CAR T Cells Following Commercial CD19 CAR T Cells in B Cell Malignancies,Stanford University,PHASE1,20,OTHER,"Stanford University, Palo Alto, California, 94304, United States",,94304
Lymphoma,NCT05432635,Genetically Modified T-cells (CMV-Specific CD19-CAR T-cells) Plus a Vaccine (CMV-MVA Triplex) Following Stem Cell Transplantation for the Treatment of Intermediate or High Grade B-cell Non-Hodgkin Lymphoma,City of Hope Medical Center,PHASE1,15,OTHER,"City of Hope Medical Center, Duarte, California, 91010, United States",,91010
Lymphoma,NCT05989204,TmCD19-IL18 in CD19+ Cancers,University of Pennsylvania,PHASE1,24,OTHER,"University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States",,19104
Lymphoma,NCT05800405,Evaluation of Bridging Radiation Therapy Before CAR T-Cell Infusion for the Treatment of Relapsed or Refractory Large B-Cell Lymphoma,City of Hope Medical Center,EARLY_PHASE1,9,OTHER,"City of Hope Medical Center, Duarte, California, 91010, United States",,91010
Lymphoma,NCT05052528,Fludarabine and Cyclophosphamide With or Without Rituximab Before CD19 Chimeric Antigen Receptor T Cells for the Treatment of Relapsed or Refractory Diffuse Large B-Cell Lymphoma,"Mehrdad Abedi, MD",PHASE1,36,OTHER,"University of California Davis Comprehensive Cancer Center, Sacramento, California, 95817, United States",,95817
Lymphoma,NCT05370430,BAFFR-targeting CAR T Cells for Patients With Relapsed or Refractory B-NHL,"PeproMene Bio, Inc.",PHASE1,36,INDUSTRY,"City of Hope Medical Center, Duarte, California, 91010, United States|Stanford University, Stanford, California, 94305, United States|University of Kansas Hospital, Kansas City, Kansas, 66160, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|Atrium Health Levine Cancer Institute - Morehead, Charlotte, North Carolina, 28204, United States|Providence Swedish Cancer Institute, Seattle, Washington, 98104, United States",,91010
Lymphoma,NCT05370430,BAFFR-targeting CAR T Cells for Patients With Relapsed or Refractory B-NHL,"PeproMene Bio, Inc.",PHASE1,36,INDUSTRY,"City of Hope Medical Center, Duarte, California, 91010, United States|Stanford University, Stanford, California, 94305, United States|University of Kansas Hospital, Kansas City, Kansas, 66160, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|Atrium Health Levine Cancer Institute - Morehead, Charlotte, North Carolina, 28204, United States|Providence Swedish Cancer Institute, Seattle, Washington, 98104, United States",,94305
Lymphoma,NCT05370430,BAFFR-targeting CAR T Cells for Patients With Relapsed or Refractory B-NHL,"PeproMene Bio, Inc.",PHASE1,36,INDUSTRY,"City of Hope Medical Center, Duarte, California, 91010, United States|Stanford University, Stanford, California, 94305, United States|University of Kansas Hospital, Kansas City, Kansas, 66160, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|Atrium Health Levine Cancer Institute - Morehead, Charlotte, North Carolina, 28204, United States|Providence Swedish Cancer Institute, Seattle, Washington, 98104, United States",,55455
Lymphoma,NCT05370430,BAFFR-targeting CAR T Cells for Patients With Relapsed or Refractory B-NHL,"PeproMene Bio, Inc.",PHASE1,36,INDUSTRY,"City of Hope Medical Center, Duarte, California, 91010, United States|Stanford University, Stanford, California, 94305, United States|University of Kansas Hospital, Kansas City, Kansas, 66160, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|Atrium Health Levine Cancer Institute - Morehead, Charlotte, North Carolina, 28204, United States|Providence Swedish Cancer Institute, Seattle, Washington, 98104, United States",,28204
Lymphoma,NCT05370430,BAFFR-targeting CAR T Cells for Patients With Relapsed or Refractory B-NHL,"PeproMene Bio, Inc.",PHASE1,36,INDUSTRY,"City of Hope Medical Center, Duarte, California, 91010, United States|Stanford University, Stanford, California, 94305, United States|University of Kansas Hospital, Kansas City, Kansas, 66160, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|Atrium Health Levine Cancer Institute - Morehead, Charlotte, North Carolina, 28204, United States|Providence Swedish Cancer Institute, Seattle, Washington, 98104, United States",,98104
Lymphoma,NCT04544592,UCD19 CarT in Treatment of Pediatric B-ALL and B-NHL,"University of Colorado, Denver",PHASE1|PHASE2,45,OTHER,"Children's Hospital Colorado, Aurora, Colorado, 80045, United States",,80045
Lymphoma,NCT04186520,CAR-20/19-T Cells in Patients With Relapsed Refractory B Cell Malignancies,Medical College of Wisconsin,PHASE1|PHASE2,100,OTHER,"Medical College of Wisconsin and Froedtert Hospital, Milwaukee, Wisconsin, 53226, United States",,53226
Lymphoma,NCT05312801,Phase 1 Study of BAFF CAR-T Cells (LMY-920) for Non-Hodgkin Lymphoma,Luminary Therapeutics,PHASE1,20,INDUSTRY,"University Hospitals Seidman Cancer Center, Cleveland, Ohio, 44106, United States|Taussig Cancer Institute | Cleveland Clinic, Cleveland, Ohio, 44195, United States",,44106
Lymphoma,NCT05801913,Genetically Modified T-cells (CMV-Specific CD19-CAR T-cells) Plus a Vaccine (CMV-MVA Triplex) for the Treatment of Intermediate or High Grade B-Cell Non-Hodgkin Lymphoma,City of Hope Medical Center,PHASE1,15,OTHER,"City of Hope Medical Center, Duarte, California, 91010, United States",,91010
Lymphoma,NCT01853631,"Activated T-Cells Expressing 2nd or 3rd Generation CD19-Specific CAR, Advanced B-Cell NHL, ALL, and CLL (SAGAN)",Baylor College of Medicine,PHASE1,64,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States|Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
Lymphoma,NCT06176690,Constitutive IL7R (C7R) Modified Banked Allogeneic CD30.CAR EBVSTS for CD30-Positive Lymphomas,Baylor College of Medicine,PHASE1,90,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States|Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
Lymphoma,NCT05260957,"CAR-T Cell Therapy, Mosunetuzumab and Polatuzumab for Treatment of Refractory/Relapsed Aggressive Non-Hodgkin's Lymphoma (NHL).",Lazaros Lekakis,PHASE2,22,OTHER,"University of Miami, Miami, Florida, 33136, United States",,33136
Lymphoma,NCT05909059,CAR T-cell Therapy in Patients With Renal Dysfunction,"Northside Hospital, Inc.",PHASE2,20,OTHER,"Caitlin Guzowski, Atlanta, Georgia, 30342, United States",,30342
