cancer_type,NCT Number,Study Title,Sponsor,Phases,Enrollment,Funder Type,Locations,Study Documents,Zipcode
Lymphoma,NCT07052305,"NT-I7 (Efineptakin Alfa), a Long-acting Human IL-7, Post-Axicabtagene Ciloleucel or Post-Lisocabtagene Maraleucel in Subjects With Relapsed/Refractory Large B-cell Lymphoma",Washington University School of Medicine,PHASE1,24,OTHER,"Washington University School of Medicine, St Louis, Missouri, 63110, United States",,63110
Lymphoma,NCT04512716,Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,Memorial Sloan Kettering Cancer Center,EARLY_PHASE1,12,OTHER,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activites), Rockville Centre, New York, 11553, United States",,07920
Lymphoma,NCT04512716,Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,Memorial Sloan Kettering Cancer Center,EARLY_PHASE1,12,OTHER,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activites), Rockville Centre, New York, 11553, United States",,07748
Lymphoma,NCT04512716,Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,Memorial Sloan Kettering Cancer Center,EARLY_PHASE1,12,OTHER,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activites), Rockville Centre, New York, 11553, United States",,07645
Lymphoma,NCT04512716,Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,Memorial Sloan Kettering Cancer Center,EARLY_PHASE1,12,OTHER,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activites), Rockville Centre, New York, 11553, United States",,11725
Lymphoma,NCT04512716,Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,Memorial Sloan Kettering Cancer Center,EARLY_PHASE1,12,OTHER,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activites), Rockville Centre, New York, 11553, United States",,10604
Lymphoma,NCT04512716,Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,Memorial Sloan Kettering Cancer Center,EARLY_PHASE1,12,OTHER,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activites), Rockville Centre, New York, 11553, United States",,10065
Lymphoma,NCT04512716,Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,Memorial Sloan Kettering Cancer Center,EARLY_PHASE1,12,OTHER,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activites), Rockville Centre, New York, 11553, United States",,11553
Lymphoma,NCT05779930,Safety and Feasibility of CD19 CAR T Cells Using CliniMACS Prodigy for Relapsed/Refractory CD19 Positive ALL and NHL,Nationwide Children's Hospital,EARLY_PHASE1,12,OTHER,"Nationwide Children's Hospital, Columbus, Ohio, 43205, United States",,43205
Lymphoma,NCT04288726,Allogeneic CD30.CAR-EBVSTs in Patients With Relapsed or Refractory CD30-Positive Lymphomas,Baylor College of Medicine,PHASE1,18,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States|Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
Lymphoma,NCT04484012,Modified Immune Cells (CD19 CAR T Cells) and Acalabrutinib for the Treatment of Relapsed or Refractory Mantle Cell Lymphoma,City of Hope Medical Center,PHASE2,36,OTHER,"City of Hope Comprehensive Cancer Center, Duarte, California, 91010, United States",,91010
Lymphoma,NCT07188558,A Study to Investigate Ronde-cel Versus Investigator's Choice CD19 CAR T-Cell Therapy,"Lyell Immunopharma, Inc.",PHASE3,400,INDUSTRY,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|Honor Health, Scottsdale, Arizona, 85258, United States|Mayo Clinic Arizona, Scottsdale, Arizona, 85259, United States|University of Arkansas, Little Rock, Arkansas, 72205, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA), Los Angeles, California, 90095, United States|University of California, Irvine, Orange, California, 92868, United States|University of Colorado, Aurora, Colorado, 80045, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|MedStar Georgetown University Hospital, Washington D.C., District of Columbia, 20007, United States|Mayo Clinic Florida, Jacksonville, Florida, 32224, United States|University of Miami, Miami, Florida, 33136, United States|AdventHealth, Orlando, Florida, 32804, United States|Moffitt Cancer Center, Tampa, Florida, 33612, United States|Northside Hospital, Atlanta, Georgia, 30342, United States|Northwestern, Chicago, Illinois, 60611, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Kansas Cancer Center, Westwood, Kansas, 66205, United States|University of Kentucky, Lexington, Kentucky, 40536, United States|University of Louisville Health, Louisville, Kentucky, 40202, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|University of Nebraska Medical Center (UNMC), Omaha, Nebraska, 68105, United States|Hackensack, Hackensack, New Jersey, 07601, United States|Roswell Park Comprehensive Cancer Center, Buffalo, New York, 14263, United States|Duke Cancer Institute, Durham, North Carolina, 27705, United States|Atrium Health Wake Forest Baptist Comprehensive Cancer Center, Winston-Salem, North Carolina, 27157, United States|Oncology Hematology Care Clinical Trials, Cincinnati, Ohio, 45242, United States|University of Cincinnati, Cincinnati, Ohio, 45267, United States|Cleveland Clinical Taussig Cancer Center, Cleveland, Ohio, 44195, United States|Allegheny Health Network, Pittsburgh, Pennsylvania, 15212, United States|SCRI Oncology Partners, Nashville, Tennessee, 37203, United States|St. David's South Austin Medical Center, Austin, Texas, 78704, United States|University of Texas Southwestern Medical Center, Fort Worth, Texas, 76104, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States|Swedish Cancer Institute, Seattle, Washington, 98104, United States",,85234
Lymphoma,NCT07188558,A Study to Investigate Ronde-cel Versus Investigator's Choice CD19 CAR T-Cell Therapy,"Lyell Immunopharma, Inc.",PHASE3,400,INDUSTRY,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|Honor Health, Scottsdale, Arizona, 85258, United States|Mayo Clinic Arizona, Scottsdale, Arizona, 85259, United States|University of Arkansas, Little Rock, Arkansas, 72205, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA), Los Angeles, California, 90095, United States|University of California, Irvine, Orange, California, 92868, United States|University of Colorado, Aurora, Colorado, 80045, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|MedStar Georgetown University Hospital, Washington D.C., District of Columbia, 20007, United States|Mayo Clinic Florida, Jacksonville, Florida, 32224, United States|University of Miami, Miami, Florida, 33136, United States|AdventHealth, Orlando, Florida, 32804, United States|Moffitt Cancer Center, Tampa, Florida, 33612, United States|Northside Hospital, Atlanta, Georgia, 30342, United States|Northwestern, Chicago, Illinois, 60611, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Kansas Cancer Center, Westwood, Kansas, 66205, United States|University of Kentucky, Lexington, Kentucky, 40536, United States|University of Louisville Health, Louisville, Kentucky, 40202, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|University of Nebraska Medical Center (UNMC), Omaha, Nebraska, 68105, United States|Hackensack, Hackensack, New Jersey, 07601, United States|Roswell Park Comprehensive Cancer Center, Buffalo, New York, 14263, United States|Duke Cancer Institute, Durham, North Carolina, 27705, United States|Atrium Health Wake Forest Baptist Comprehensive Cancer Center, Winston-Salem, North Carolina, 27157, United States|Oncology Hematology Care Clinical Trials, Cincinnati, Ohio, 45242, United States|University of Cincinnati, Cincinnati, Ohio, 45267, United States|Cleveland Clinical Taussig Cancer Center, Cleveland, Ohio, 44195, United States|Allegheny Health Network, Pittsburgh, Pennsylvania, 15212, United States|SCRI Oncology Partners, Nashville, Tennessee, 37203, United States|St. David's South Austin Medical Center, Austin, Texas, 78704, United States|University of Texas Southwestern Medical Center, Fort Worth, Texas, 76104, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States|Swedish Cancer Institute, Seattle, Washington, 98104, United States",,85258
Lymphoma,NCT07188558,A Study to Investigate Ronde-cel Versus Investigator's Choice CD19 CAR T-Cell Therapy,"Lyell Immunopharma, Inc.",PHASE3,400,INDUSTRY,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|Honor Health, Scottsdale, Arizona, 85258, United States|Mayo Clinic Arizona, Scottsdale, Arizona, 85259, United States|University of Arkansas, Little Rock, Arkansas, 72205, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA), Los Angeles, California, 90095, United States|University of California, Irvine, Orange, California, 92868, United States|University of Colorado, Aurora, Colorado, 80045, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|MedStar Georgetown University Hospital, Washington D.C., District of Columbia, 20007, United States|Mayo Clinic Florida, Jacksonville, Florida, 32224, United States|University of Miami, Miami, Florida, 33136, United States|AdventHealth, Orlando, Florida, 32804, United States|Moffitt Cancer Center, Tampa, Florida, 33612, United States|Northside Hospital, Atlanta, Georgia, 30342, United States|Northwestern, Chicago, Illinois, 60611, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Kansas Cancer Center, Westwood, Kansas, 66205, United States|University of Kentucky, Lexington, Kentucky, 40536, United States|University of Louisville Health, Louisville, Kentucky, 40202, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|University of Nebraska Medical Center (UNMC), Omaha, Nebraska, 68105, United States|Hackensack, Hackensack, New Jersey, 07601, United States|Roswell Park Comprehensive Cancer Center, Buffalo, New York, 14263, United States|Duke Cancer Institute, Durham, North Carolina, 27705, United States|Atrium Health Wake Forest Baptist Comprehensive Cancer Center, Winston-Salem, North Carolina, 27157, United States|Oncology Hematology Care Clinical Trials, Cincinnati, Ohio, 45242, United States|University of Cincinnati, Cincinnati, Ohio, 45267, United States|Cleveland Clinical Taussig Cancer Center, Cleveland, Ohio, 44195, United States|Allegheny Health Network, Pittsburgh, Pennsylvania, 15212, United States|SCRI Oncology Partners, Nashville, Tennessee, 37203, United States|St. David's South Austin Medical Center, Austin, Texas, 78704, United States|University of Texas Southwestern Medical Center, Fort Worth, Texas, 76104, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States|Swedish Cancer Institute, Seattle, Washington, 98104, United States",,85259
Lymphoma,NCT07188558,A Study to Investigate Ronde-cel Versus Investigator's Choice CD19 CAR T-Cell Therapy,"Lyell Immunopharma, Inc.",PHASE3,400,INDUSTRY,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|Honor Health, Scottsdale, Arizona, 85258, United States|Mayo Clinic Arizona, Scottsdale, Arizona, 85259, United States|University of Arkansas, Little Rock, Arkansas, 72205, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA), Los Angeles, California, 90095, United States|University of California, Irvine, Orange, California, 92868, United States|University of Colorado, Aurora, Colorado, 80045, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|MedStar Georgetown University Hospital, Washington D.C., District of Columbia, 20007, United States|Mayo Clinic Florida, Jacksonville, Florida, 32224, United States|University of Miami, Miami, Florida, 33136, United States|AdventHealth, Orlando, Florida, 32804, United States|Moffitt Cancer Center, Tampa, Florida, 33612, United States|Northside Hospital, Atlanta, Georgia, 30342, United States|Northwestern, Chicago, Illinois, 60611, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Kansas Cancer Center, Westwood, Kansas, 66205, United States|University of Kentucky, Lexington, Kentucky, 40536, United States|University of Louisville Health, Louisville, Kentucky, 40202, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|University of Nebraska Medical Center (UNMC), Omaha, Nebraska, 68105, United States|Hackensack, Hackensack, New Jersey, 07601, United States|Roswell Park Comprehensive Cancer Center, Buffalo, New York, 14263, United States|Duke Cancer Institute, Durham, North Carolina, 27705, United States|Atrium Health Wake Forest Baptist Comprehensive Cancer Center, Winston-Salem, North Carolina, 27157, United States|Oncology Hematology Care Clinical Trials, Cincinnati, Ohio, 45242, United States|University of Cincinnati, Cincinnati, Ohio, 45267, United States|Cleveland Clinical Taussig Cancer Center, Cleveland, Ohio, 44195, United States|Allegheny Health Network, Pittsburgh, Pennsylvania, 15212, United States|SCRI Oncology Partners, Nashville, Tennessee, 37203, United States|St. David's South Austin Medical Center, Austin, Texas, 78704, United States|University of Texas Southwestern Medical Center, Fort Worth, Texas, 76104, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States|Swedish Cancer Institute, Seattle, Washington, 98104, United States",,72205
