Cancer Type,% Pop Covered,% Urban Covered,% Rural Covered,% Q1 Income Covered,% Q4 Income Covered,% Hispanic Covered,% Black Covered
any_gi,56.6562801412523,66.8596296182054,5.8693200045422165,36.80876111392591,82.33366238809407,62.56568432719865,67.97049354370304
lymphoma,53.456530173652375,63.23295818549299,4.79452935850762,33.991082278309754,79.88153359179148,59.92817876972586,65.14631400234151
Solid_cancer,37.05348551458182,44.193864734944185,1.5122916777881663,22.67035432901093,61.29668814326865,41.20702222930146,46.62817734639604
myeloma,50.61867181737284,60.09591884816496,3.445790720570976,31.575275564742668,77.66481249754116,56.79754054223939,61.959611771001185
leukemia,30.51000678181773,36.362960651904444,1.3769702741345116,18.08585421412954,52.96212582054841,39.87412542430756,36.07809354980961
