Cancer Type,% Pop Covered,% Urban Covered,% Rural Covered,% Q1 Income Covered,% Q4 Income Covered,% Hispanic Covered,% Black Covered
any_gi,72.85469240992826,80.58402705028625,34.37926703797646,54.17794524952782,93.21938552570835,74.14988830165794,79.92396112972328
lymphoma,69.94943220653506,77.88985676501615,30.42314688304656,50.131647475626075,92.0017518134462,71.82534616460929,77.86210711104403
Solid_cancer,51.12678765937812,58.136161532025476,16.23423775332632,33.138432170690315,76.98146371601945,53.76854001124113,57.73743901292667
myeloma,67.56632770489355,75.5768984758677,27.690779363956707,46.79953379095297,91.13246292473637,70.57970865695002,73.94696885134856
leukemia,43.04184793054795,49.38834769146968,11.45259146839311,25.146714005002384,68.61090616000482,51.95546001676266,46.16499341687532
