Group,% Pop Covered,% Urban Covered,% Rural Covered,% Q1 Income Covered,% Q4 Income Covered,% Black Covered,% Hispanic Covered
Total GI (Any),83.61407120196397,90.87845221601853,47.453571446692514,65.81233453231322,97.95679503300926,85.54144759425245,84.21642192818824
Common Cancers,83.41077507291403,90.8127422601042,46.565404028980716,65.53095042334964,97.93913751280098,85.50847554093767,84.14993109361251
Rare Cancers,63.77400515723954,71.53783908661963,25.13051548659428,44.791815367869525,85.54680986372438,68.46795287527834,65.39493866741046
