Cancer Type,% Pop Covered (30mi),% Urban Covered,% Rural Covered,% Q1 (Low Income) Access,% Q4 (High Income) Access
Leukemia,30.51000678181773,36.362960651904444,1.3769702741345116,18.08585421412954,52.96212582054841
Lymphoma,53.456530173652375,63.23295818549299,4.79452935850762,33.991082278309754,79.88153359179148
Myeloma,50.61867181737284,60.09591884816496,3.445790720570976,31.575275564742668,77.66481249754116
Solid,37.05348551458182,44.193864734944185,1.5122916777881663,22.67035432901093,61.29668814326865
