Cancer Type,No. Trials (NCT IDs),No. Sites (ZIPs),% Population Covered,Covered Population (M),% Urban Pop Covered,% Rural Pop Covered,% Lowest Income Quartile Covered,% Highest Income Quartile Covered,% Hispanic Pop Covered,% Black Pop Covered
any_gi,283,1322,83.6%,279.76,90.9%,47.5%,65.8%,98.0%,84.2%,85.5%
Colorectal_cancer,82,1026,80.2%,268.26,88.1%,40.8%,61.5%,97.0%,81.3%,83.4%
Gastroesophageal Cancer,46,684,71.9%,240.66,80.2%,30.9%,50.2%,92.7%,73.0%,74.9%
Hepatocellular_cancer,45,210,54.7%,182.91,64.3%,6.8%,35.5%,81.9%,62.1%,65.0%
Pancreatic_cancer,75,730,75.3%,251.94,83.8%,32.9%,54.9%,94.5%,76.4%,79.7%
Adenocarcinoma,2,419,43.6%,145.82,47.8%,22.5%,32.8%,51.5%,48.8%,40.3%
Anal_cancer,5,19,19.2%,64.13,22.8%,0.9%,13.4%,32.0%,20.0%,31.0%
Appendiceal_cancer,1,1,0.5%,1.62,0.6%,0.1%,0.3%,0.7%,0.7%,0.6%
BiliaryDuct_cancer,28,109,44.8%,149.89,52.8%,4.9%,29.7%,67.0%,49.5%,55.3%
