institution,n_site_zips_for_inst,covered_population,covered_population_M,covered_population_share_%
Baylor St. Luke's Medical Center,1,6094843.0,6.094843,1.821584232297848
University of Texas MD Anderson Cancer Center,1,6094843.0,6.094843,1.821584232297848
The Methodist Hospital,1,6094843.0,6.094843,1.821584232297848
The University of Texas M D Anderson Cancer Center,1,6094843.0,6.094843,1.821584232297848
Children's National Hospital,1,6014045.0,6.014045,1.797435888722599
Childrens National Hospital,1,6014045.0,6.014045,1.797435888722599
The Center for Cancer and Blood Disorders,1,5942852.0,5.942852,1.7761582206596183
UT Southwestern Medical Center,1,5930216.0,5.930216,1.7723816609747642
Local Institution - 0223,1,5925228.0,5.925228,1.7708908822704232
MedStar Georgetown University Hospital,1,5925228.0,5.925228,1.7708908822704232
Rutgers Cancer Institute,1,5908622.0,5.908622,1.765927796632034
Mayo Clinic,5,5782443.0,5.782443,1.7282162958030363
Baylor Scott & White Research Institute,1,5683459.0,5.683459,1.698632647192273
Texas Oncology - Dallas Fort Worth,1,5513034.0,5.513034,1.6476972100055627
Baylor Charles A. Sammons Cancer Center,1,5513034.0,5.513034,1.6476972100055627
Baylor University Medical Center,1,5513034.0,5.513034,1.6476972100055627
Abramson Cancer Center of the University of Pennsylvania,1,5486461.0,5.486461,1.6397552568158167
Abramson Cancer Center at the University of Pennsylvania,1,5486461.0,5.486461,1.6397552568158167
University of Pennsylvania,1,5486461.0,5.486461,1.6397552568158167
University of Pennsylvania - Abramson Caner Center,1,5486461.0,5.486461,1.6397552568158167
Thomas Jefferson University,1,5483293.0,5.483293,1.6388084270372778
Local Institution - 0070,1,5483293.0,5.483293,1.6388084270372778
Virginia Cancer Specialists,1,5454003.0,5.454003,1.630054435808299
Fox Chase Cancer Center,1,5401964.0,5.401964,1.6145013818798306
Stanford Cancer Institute,2,5289034.0,5.289034,1.58074964990685
Memorial Sloan Kettering Cancer Center @ Suffolk-Commack (Limited protocol activities),1,5159239.0,5.159239,1.541957424179116
Memorial Sloan Kettering Cancer Commack - Suffolk (Limited Protocol Activities),1,5159239.0,5.159239,1.541957424179116
Memorial Sloan Kettering Cancer Suffolk-Commack (Limited Protocol Activities),1,5159239.0,5.159239,1.541957424179116
Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities),1,5159239.0,5.159239,1.541957424179116
Stanford University,2,4961599.0,4.961599,1.4828881573134485
Stanford University Medical Center,1,4951716.0,4.951716,1.4799343950971289
Stanford Cancer Center,1,4951716.0,4.951716,1.4799343950971289
Blood Marrow and Transplant Group of Georgia,1,4821368.0,4.821368,1.4409768925804012
Bone and Marrow Transplant Group of Georgia,1,4821368.0,4.821368,1.4409768925804012
Northside Hospital,1,4821368.0,4.821368,1.4409768925804012
Northside Hospital Cancer Institute,1,4821368.0,4.821368,1.4409768925804012
Caitlin Guzowski,1,4821368.0,4.821368,1.4409768925804012
Winship Cancer Institute of Emory University,1,4797666.0,4.797666,1.4338930038774562
Winship Cancer Institute,1,4797666.0,4.797666,1.4338930038774562
Emory - Winship Cancer Institute,1,4797666.0,4.797666,1.4338930038774562
Emory University,1,4797666.0,4.797666,1.4338930038774562
Winship Cancer Institute Emory University,1,4797666.0,4.797666,1.4338930038774562
Sutter Health Alta Bates,1,4717728.0,4.717728,1.4100016911133004
Alta Bates Summit Medical Center,1,4717728.0,4.717728,1.4100016911133004
Dana-Farber Cancer Institute,2,4442267.0,4.442267,1.327673825701017
Massachusetts General Hospital Cancer Center,2,4439553.0,4.439553,1.3268626842808926
Dana Farber Cancer Institite,1,4427248.0,4.427248,1.3231850515710057
Boston Children's Hospital,1,4427248.0,4.427248,1.3231850515710057
Boston Medical Center,1,4424808.0,4.424808,1.3224558013627876
Boston University Medical Center,1,4424808.0,4.424808,1.3224558013627876
Dana Farber Cancer Institute,1,4386803.0,4.386803,1.311097131623718
